unique_id,type,reply_with,show_buttons,ENGLISH,Hindi,Malayalam,Oriya,Gujarati,Marathi,Bengali,Kannada,Tamil
Translated by,,,,Krushna,Shrey,Google,Jitendra (Google Sucks 😂😂),Google,Floyd,Ankan,RON SWANSON and GOOGLE,Surya
Proofread by,,,,Neo/Jiju,Krushna,Neo/Bob,Jitendra,Krushna,,,Someone from KARANATAKA should do this,
All fields highlighed in this color should be proofread again,,,,,Fields which have been confirmed proofread can be highlighted green,,,,,,,
s1,from_bot,,,Hello. This bot will help in answering common queries about Covid-19 vaccination.,नमस्ते। यह बॉट कोविड-19 टीकाकरण के बारे में सामान्य प्रश्नों के उत्तर देने में मदद करेगा।,നമസ്കാരം. കോവിഡ് -19 വാക്സിനേഷനെക്കുറിച്ചുള്ള പൊതുവായ ചോദ്യങ്ങൾക്ക് ഉത്തരം നൽകാൻ ഈ ബോട്ട് സഹായിക്കും.,ନମସ୍କାର । କୋଭିଡ୍-୧୯ ଟୀକାକରଣ ବିଷୟରେ ସାଧାରଣ ପ୍ରଶ୍ନର ଉତ୍ତର ଦେବାରେ ଏହି ବଟ୍ ସାହାଯ୍ୟ କରିବ ।,નમસ્તે. આ બોટ કોવિડ -19 રસીકરણ વિશેના સામાન્ય પ્રશ્નોના જવાબો આપવામાં મદદ કરશે.,नमस्कार. हे बॉट कॉव्हिड-19 लसीकरण बद्दल सामान्य प्रश्नांची उत्तरे देण्यास मदत करेल.,"নমস্কার, এই বট (bot)-টি কভিড-১৯ টিকাকরণের সম্পর্কে কিছু সাধারণ প্রশ্নের উত্তর দিয়ে আপনাকে সাহায্য করবে ।","ಹಲೋ. COVID-19 ವ್ಯಾಕ್ಸಿನೇಷನ್ ಬಗ್ಗೆ ಸಾಮಾನ್ಯ ಪ್ರಶ್ನೆಗಳಿಗೆ ಉತ್ತರಿಸುವಲ್ಲಿ ಈ ಬೊಟ್ ಸಹಾಯ ಮಾಡುತ್ತದೆ.
",வணக்கம். இந்த இயலி (bot) கோவிட்-19 தடுப்பூசி பற்றிய பொதுவான கேள்விகளுக்குப் பதிலளிக்க உதவும்.
s2,from_bot,,,"Hello. This bot will help in answering common queries about Covid-19 vaccination.

Please choose your age","नमस्ते। यह बॉट कोविड-19 टीकाकरण के बारे में सामान्य प्रश्नों के उत्तर देने में मदद करेगा।

कृपया अपनी उम्र चुनें","നമസ്കാരം. കോവിഡ് -19 വാക്സിനേഷനെക്കുറിച്ചുള്ള പൊതുവായ ചോദ്യങ്ങൾക്ക് ഉത്തരം നൽകാൻ ഈ ബോട്ട് സഹായിക്കും.

നിങ്ങളുടെ പ്രായം തിരഞ്ഞെടുക്കുക","ନମସ୍କାର । କୋଭିଡ୍-୧୯ ଟୀକାକରଣ ବିଷୟରେ ସାଧାରଣ ପ୍ରଶ୍ନର ଉତ୍ତର ଦେବାରେ ଏହି ବଟ୍ ସାହାଯ୍ୟ କରିବ ।

ଦୟାକରି ଆପଣଙ୍କର ବୟସ ବାଛନ୍ତୁ ।","નમસ્તે. આ બોટ કોવિડ -19 રસીકરણ વિશેના સામાન્ય પ્રશ્નોના જવાબો આપવામાં મદદ કરશે.

કૃપા કરીને તમારી ઉંમર પસંદ કરો","नमस्कार. हे बॉट कॉव्हिड-19 लसीकरण बद्दल सामान्य प्रश्नांची उत्तरे देण्यास मदत करेल.

कृपया आपले वय निवडा","নমস্কার, এই বট (bot)-টি কভিড-১৯ টিকাকরণের সম্পর্কে কিছু সাধারণ প্রশ্নের উত্তর দিয়ে আপনাকে সাহায্য করবে ।
আপনার বয়সের বিভাগ নির্বাচন করুন :","ಹಲೋ. COVID-19 ವ್ಯಾಕ್ಸಿನೇಷನ್ ಬಗ್ಗೆ ಸಾಮಾನ್ಯ ಪ್ರಶ್ನೆಗಳಿಗೆ ಉತ್ತರಿಸುವಲ್ಲಿ ಈ ಬೊಟ್ ಸಹಾಯ ಮಾಡುತ್ತದೆ.

ದಯವಿಟ್ಟು ನಿಮ್ಮ ವಯಸ್ಸನ್ನು ಆಯ್ಕೆ ಮಾಡಿ","வணக்கம். இந்த இயலி (bot) கோவிட்-19 தடுப்பூசி பற்றிய பொதுவான கேள்விகளுக்குப் பதிலளிக்க உதவும். 

உங்கள் வயதைத் தேர்ந்தெடுக்கவும்"
s3,from_user,s5,"s52,s53,s65",Under 18 years,18 साल से कम,18 വയസ്സിന് താഴെ,୧୮ ବର୍ଷରୁ କମ୍,18 વર્ષથી ઓછી ઉંમરના,18 वर्षांपेक्षा कमी,১৮ বছরের কম বয়সী,18 ವರ್ಷದೊಳಗಿನವರು,18 வயதுக்குக் கீழ்
s4,from_user,s6,"s55,s7,s65",18 years or above,18 वर्ष या उससे अधिक,18 വയസ്സിന് മേലെ,୧୮ ବର୍ଷ କିମ୍ବା ତଦୁର୍ଦ୍ଧ,18 વર્ષ અથવા તેથી વધુ,18 वर्षे किंवा त्यापेक्षा जास्त,১৮ বছর বা তার বেশি বয়সী,18 ವರ್ಷ ಅಥವಾ ಮೇಲ್ಪಟ್ಟವರು,18 அல்லது அதற்கும் மேல்
s5,from_bot,,,"As per the Govt of India guidelines, people under 18 years of age are not eligible for covid vaccination as of now. We will update the bot if there are any changes to this policy.","भारत सरकार के दिशानिर्देशों के अनुसार, 18 वर्ष से कम आयु के लोग अभी तक कोविड टीकाकरण के लिए पात्र नहीं हैं। अगर इस नीति में कोई बदलाव होता है तो हम बॉट को अपडेट कर देंगे।","ഇന്ത്യൻ ഗവൺമെന്റിന്റെ മാർഗ്ഗനിർദ്ദേശങ്ങൾ അനുസരിച്ച്, 18 വയസ്സിന് താഴെയുള്ളവർക്ക് ഇപ്പോൾ കോവിഡ് വാക്സിനേഷൻ എടുക്കാൻ അർഹതയില്ല. ഈ നയത്തിൽ എന്തെങ്കിലും മാറ്റങ്ങളുണ്ടെങ്കിൽ ഞങ്ങൾ ബോട്ട് അപ്‌ഡേറ്റ് ചെയ്യുന്നതായിരിക്കും","ଭାରତ ସରକାରଙ୍କ ନିର୍ଦ୍ଦେଶାବଳୀ ଅନୁଯାୟୀ, ୧୮ ବର୍ଷରୁ କମ୍ ବୟସର ଲୋକମାନେ ବର୍ତ୍ତମାନ ସୁଦ୍ଧା କୋଭିଡ୍ ଟୀକାକରଣ ପାଇଁ ଯୋଗ୍ୟ ନୁହଁନ୍ତି । ଯଦି ଏହି ନୀତିରେ କିଛି ପରିବର୍ତ୍ତନ ଆସେ ତେବେ ଆମେ ବଟ୍ ଅପଡେଟ୍ କରିବୁ ।",ભારત સરકારના માર્ગદર્શિન મુજબ 18 વર્ષથી ઓછી ઉંમરના લોકો હમણાં સુધી કોવિડ રસીકરણ માટે પાત્ર નથી. જો આ નીતિમાં કોઈ ફેરફાર કરવામાં આવે તો અમે બોટને અપડેટ કરીશું.,"भारत सरकारच्या मार्गदर्शक सूचनांनुसार, 18 वर्षा खालील लोक आता म्हणून कॉव्हिड लसीकरणासाठी पात्र नाहीत. या धोरणात कोणतेही बदल असल्यास आम्ही बॉट अद्यतनित करू.","ভারত সরকারের নির্দেশ অনুসারে, 18 বছরের কম বয়সী লোকেরা এখন  covid টিকার  জন্য যোগ্য নয়। এই নীতিতে কোন পরিবর্তন হলে আমরা বটটি আপডেট করব।","ಭಾರತ ಸರ್ಕಾರದ ಮಾರ್ಗಸೂಚಿಗಳ ಪ್ರಕಾರ, ಸಧ್ಯಕ್ಕೆ, 18 ವರ್ಷಕ್ಕಿಂತ ಕಡಿಮೆ ವಯಸ್ಸಿನವರು ಕೋವಿಡ್ ಲಸಿಕೆ ಪಡೆಯಲು ಅರ್ಹರಲ್ಲ. ಈ ನೀತಿಯಲ್ಲಿ ಯಾವುದೇ ಬದಲಾವಣೆಯಾದಲ್ಲಿ ನಾವು ಬಾಟ್ ಅನ್ನು ನವೀಕರಿಸುತ್ತೇವೆ.","இந்திய அரசின் வழிகாட்டுதல்களின் படி, 18 வயதுக்குக் கீழானவர்களுக்குத் தற்போது கோவிட்-19 தடுப்பூசி செலுத்தப்படுவதில்லை. இந்த வழிகாட்டுதலில் ஏதும் மாற்றம் ஏற்பட்டால் இந்தத் தகவலை நாங்கள் புதுப்பிக்கிறோம்."
s6,from_bot,,,Select your sex,अपना लिंग चुनें,നിങ്ങളുടെ ലിംഗഭേദം തിരഞ്ഞെടുക്കുക,ଆପଣଙ୍କର ଲିଙ୍ଗ ଚୟନ କରନ୍ତୁ ।,તમારું લિંગ ચૂનો,आपले लिंग निवडा,আপনার লিঙ্গ নির্বাচন করুন:,ನಿಮ್ಮ ಲಿಂಗ ಆಯ್ಕೆ ಮಾಡಿ,உங்கள் பாலினத்தைத் தேர்ந்தெடுக்கவும்
s55,from_user,s16,"s17,s56,s15,s52,s53,s65",Male,पुरुष,പുരുഷൻ,ପୁରୁଷ,પુરુષ,पुरूष,পুরুষ ,ಪುರುಷ,ஆண்
s7,from_user,s8,"s9,s11,s13,s57,s53,s65",Female,महिला,സ്ത്രീ,ମହିଳା,સ્ત્રી,महिला,মহিলা,ಸ್ತ್ರೀ,பெண்
s8,from_bot,,,Choose your question,अपना प्रश्न चुनें,നിങ്ങളുടെ ചോദ്യം തിരഞ്ഞെടുക്കുക,ଆପଣଙ୍କର ପ୍ରଶ୍ନ ବାଛନ୍ତୁ ।,તમારો પ્રશ્ન પસંદ કરો,आपला प्रश्न निवडा,আপনার প্রশ্ন নির্বাচন করুন:,ನಿಮ್ಮ ಪ್ರಶ್ನೆಯನ್ನು ಆಯ್ಕೆ ಮಾಡಿ,உங்கள் கேள்வியத் தேர்ந்தெடுக்கவும்
s9,from_user,s10,"s9,s11,s13,s57,s53,s65",Can I get vaccinated while having periods?,क्या मैं पीरियड्स के दौरान टीका लगवा सकती हूं?,ആർത്തവദിനങ്ങളിൽ വാക്സിനേഷൻ എടുക്കാമോ?,ମାସିକ ଋତୁସ୍ରାବ ସମୟରେ ମୁଁ ଟୀକାକରଣ କରିପାରିବି କି ?,શું હું માસિક સ્ત્રાવ દરમિયાન રસી લઈ શકું છું?,मी मासिक पाळीच्या वेळी लस घेऊ शकेल?,মাসিক বা ঋতুস্রাবের সময় কি আমি টিকা নিতে পারি?,ಮುಟ್ಟಿನ ಸಮಯದಲ್ಲಿ ನಾನು ಲಸಿಕೆ ಪಡೆಯಬಹುದೇ?,காலங்களில் நான் தடுப்பூசி பெற முடியுமா?
s10,from_bot,,,"Yes. There is no restriction to getting vaccinated during menstrual periods. However if you have a choice, it is better to get vaccinated about 5-7 days after periods as hormone levels will be stable at that point.","हाँ। मासिक के दौरान टीका लगवाने पर कोई प्रतिबंध नहीं है। हालाँकि, यदि आपके पास कोई विकल्प है, तो मासिक खत्म होने के लगभग 5-7 दिनों के बाद टीका लगवाना बेहतर होगा क्योंकि उस समय हार्मोन का स्तर स्थिर रहेगा।","എടുക്കാം. ആർത്തവകാലത്ത് വാക്സിനേഷൻ ലഭിക്കുന്നതിന് യാതൊരു നിയന്ത്രണവുമില്ല. എന്നിരുന്നാലും, നിങ്ങൾക്ക് ഒരു ചോയ്സ് ഉണ്ടെങ്കിൽ, ഏകദേശം 5-7 ദിവസങ്ങൾക്ക് ശേഷം ഹോർമോൺ ലെവലുകൾ സ്ഥിരതയാർജിച്ചതിനു ശേഷം  വാക്സിനേറ്റ് ചെയ്യുന്നതാണ് നല്ലത്.","ହଁ । ମାସିକ ଋତୁସ୍ରାବ ସମୟରେ ଟୀକାକରଣ ପାଇଁ କୌଣସି ପ୍ରତିବନ୍ଧକ ନାହିଁ । ଯଦି ଆପଣଙ୍କ ପାଖରେ ବିକଳ୍ପ ଅଛି, ତେବେ ଋତୁସ୍ରାବର ପ୍ରାୟ ୫-୭ ଦିନ ପରେ ଟୀକାକରଣ କରିବା ଭଲ, କାରଣ ସେହି ସମୟରେ ହରମୋନ୍ ସ୍ତର ସ୍ଥିର ରହିବ ।","હા. માસિક સ્રાવ દરમિયાન રસી લેવા માટે કોઈ પ્રતિબંધ નથી. જો તમારી પાસે સુવિધા હોય, તો પીરિયડ્સના લગભગ 5-7 દિવસ પછી રસી લેવાનું વધુ સારું છે કારણ કે તે સમયે હોર્મોનનું સ્તર સ્થિર રહેશે.","होय. मासिक पाळीच्या काळात लसीकरण करण्यासाठी कोणतेही बंधन नाही. तथापि आपल्याकडे पर्याय असल्यास, त्या वेळी हार्मोन पातळी स्थिर असेल म्हणून ते चांगले आहे.",হ্যাঁ. ঋতুস্রাবের সময় টিকা নেওয়ায় কোন বাধা নেই। তবে সুযোগ থাকলে মাসিক-এর ৫-৭ দিন পরে টিকা নেওয়া সুবিধেজনক। সেই সময় আপনার হরমোনের (hormone) মাত্রা স্থিতিশীল থাকে ।,"ಹೌದು. ಮುಟ್ಟಿನ ಅವಧಿಯಲ್ಲಿ ಲಸಿಕೆ ಹಾಕಲು ಯಾವುದೇ ನಿರ್ಬಂಧವಿಲ್ಲ. ಆದರೆ ನಿಮಗೆ ಆಯ್ಕೆ ಇದ್ದರೆ, 5-7 ದಿನಗಳ ನಂತರ ಹಾರ್ಮೋನ್ ಮಟ್ಟವು ಸ್ಥಿರವಾಗುವುದರಿಂದ, ಆ ಸಮಯದಲ್ಲಿ ಲಸಿಕೆ ಪಡೆಯುವುದು ಉತ್ತಮ.","ஆம். மாதவிடாய் காலங்களில் தடுப்பூசி பெறுவதற்கான கட்டுப்பாடு இல்லை. இருப்பினும் உங்களுக்கு ஒரு தேர்வு இருந்தால், ஹார்மோன் அளவுகள் அந்த கட்டத்தில் நிலையானதாக இருக்கும் என காலங்களில் 5-7 நாட்களுக்குப் பிறகு தடுப்பூசி பெற நல்லது."
s11,from_user,s12,"s9,s11,s13,s57,s53,s65",Can pregnant women get the covid vaccine?,क्या गर्भवती महिला कोविड 19 का टीका लगवा सकती है?,ഗർഭിണികൾക്ക് കോവിഡ് വാക്സിൻ ലഭിക്കുമോ?,ଗର୍ଭବତୀ ମହିଳାମାନେ କୋଭିଡ୍ ଟିକା ପାଇପାରିବେ କି ?,શું ગર્ભવતી સ્ત્રીઓ કોવિડ -19 રસી લગાવી શકે છે?,गर्भवती महिलांना कॉव्हिड लसी मिळू शकेल का?,গর্ভবতী মহিলারা কি ভ্যাকসিন নিতে পারেন?,ಗರ್ಭಿಣಿಯರು ಕೋವಿಡ್ ಲಸಿಕೆ ಪಡೆಯಬಹುದೇ?,கர்ப்பமாக இருக்கும் பெண்கள் கோவிட் தடுப்பூசி பெற முடியுமா?
s12,from_bot,,,Please get vaccinated in consultation with your gynaecologist.,कृपया अपने स्त्री रोग विशेषज्ञ के परामर्श से टीका लगवाएं।,നിങ്ങളുടെ ഗൈനക്കോളജിസ്റ്റുമായി കൂടിയാലോചിച്ച് വാക്സിനേഷൻ എടുക്കുക.,ଦୟାକରି ଆପଣଙ୍କର ସ୍ତ୍ରୀ ରୋଗ ବିଶେଷଜ୍ଞଙ୍କ ପରାମର୍ଶରେ ଟୀକାକରଣ କରନ୍ତୁ ।,કૃપા કરીને તમારા સ્ત્રીરોગ ચિકિત્સકની સલાહ લીધા પછી રસી લો.,कृपया आपल्या स्त्रीवंशशास्त्रज्ञांशी सल्लामसलत करून लसीकरण करा.,টিকা নেওয়ার আগে স্ত্রীরোগ বিশেষজ্ঞ (gynaecologist) এর সাথে পরামর্শ করুন ।,ನಿಮ್ಮ ಸ್ತ್ರೀರೋಗತಜ್ಞರೊಂದಿಗೆ ಸಮಾಲೋಚಿಸಿ ಲಸಿಕೆಯನ್ನು ಪಡೆಯಿರಿ.,உங்கள் மகளிர் வல்லுனருடன் ஆலோசனை செய்வதில் தடுப்பூசி பெறவும்.
s13,from_user,s14,"s9,s11,s13,s57,s53,s65",Can breastfeeding women get the covid vaccine?,क्या स्तनपान कराने वाली महिलाएं कोविड का टीका लगवा सकती है?,മുലയൂട്ടുന്ന സ്ത്രീകൾക്ക് കോവിഡ് വാക്സിൻ ലഭിക്കുമോ?,ସ୍ତନ୍ୟପାନ କରାଉଥିବା ମହିଳାମାନେ କୋଭିଡ୍ ଟିକା ପାଇପାରିବେ କି ?,શું સ્તનપાન કરાવતી મહિલાઓને કોવિડ રસી મળી શકે છે?,स्तनपान करणारी महिलांना कॉव्हिड लसी मिळू शकेल का?,স্তন্যপান করানো মায়েরা কি টিকা নিতে পারেন ?,ಸ್ತನ್ಯಪಾನ ಮಾಡುವ ಮಹಿಳೆಯರು ಕೋವಿಡ್ ಲಸಿಕೆ ಪಡೆಯಬಹುದೇ?,பெண்களுக்கு தாய்ப்பால் கொடுப்பது Covid தடுப்பூசி பெற முடியுமா?
s14,from_bot,,,Please get vaccinated. All approved vaccines are safe for  lactating mothers.,कृपया टीका लगवाएं। सभी स्वीकृत टीके स्तनपान कराने वाली माताओं के लिए सुरक्षित हैं।,വാക്സിനേഷൻ എടുക്കുക. മുലയൂട്ടുന്ന സ്ത്രീകൾക്ക് എല്ലാ അംഗീകൃത വാക്സിനുകളും സുരക്ഷിതമാണ്.,ଦୟାକରି ଟୀକାକରଣ କରି ନିଅନ୍ତୁ । ସ୍ତନ୍ୟପାନ କରାଉଥିବା ମା ମାନଙ୍କ ପାଇଁ ସମସ୍ତ ଅନୁମୋଦିତ ଟିକା ସୁରକ୍ଷିତ ଅଟେ ।,કૃપા કરીને રસી લો. બધી માન્ય રસીઓ સ્તનપાન કરાવતી માતા માટે સલામત છે.,कृपया लसी घ्या. सर्व मान्यताप्राप्त लसी स्तनपान करणारी आईसाठी सुरक्षित आहेत,দয়া করে টিকা নিন । সমস্ত অনুমোদিত টিকা স্তনপান করানো মায়েদের জন্য নিরাপদ ।,ದಯವಿಟ್ಟು ಲಸಿಕೆಯನ್ನು ಪಡೆದುಕೊಳ್ಳಿ. ಎಲ್ಲಾ ಅನುಮೋದಿತ ಲಸಿಕೆಗಳು ಹಾಲುಣಿಸುವ ತಾಯಂದಿರಿಗೆ ಸುರಕ್ಷಿತವಾಗಿರುತ್ತವೆ.,தயவுசெய்து தடுப்பூசி பெறவும். அனைத்து அங்கீகரிக்கப்பட்ட தடுப்பூசிகள் பாலூட்டும் தாய்மார்களுக்கு பாதுகாப்பாக உள்ளன.
s57,from_user,s16,"s17,s56,s15,s52,s53,s65",Other vaccination related queries,टीकाकरण संबंधित अन्य प्रश्न,വാക്സിനേഷനുമായി ബന്ധപ്പെട്ട മറ്റു ചോദ്യങ്ങൾ,ଅନ୍ୟାନ୍ୟ ଟୀକାକରଣ ସମ୍ବନ୍ଧୀୟ ପ୍ରଶ୍ନଗୁଡିକ ।,રસીકરણ સંબંધિત અન્ય પ્રશ્નો,लसीशी संबंधित इतर प्रश्न,অন্যান্য টিকা জাতীয় প্রশ্ন ,ಇತರ ಲಸಿಕೆ ಸಂಬಂಧಿತ ಪ್ರಶ್ನೆಗಳು,
s16,from_bot,,,Select the broad nature of your query.,अपने सवाल की व्यापक प्रकृति का चयन करें।,നിങ്ങളുടെ ചോദ്യത്തിന്റെ വിഭാഗം തിരഞ്ഞെടുക്കുക.,ଆପଣଙ୍କର ଜିଜ୍ଞାସାର ବ୍ୟାପକ ପ୍ରକୃତି ଚୟନ କରନ୍ତୁ ।,તમારા સવાલ ની વ્યાપક પ્રકૃતિ પસંદ કરો.,आपल्या प्रश्नाचे विस्तृत स्वरूप निवडा,আপনার প্রশ্নের প্রকৃতি নির্বাচন করুন।,ನಿಮ್ಮ ಪ್ರಶ್ನೆಯ ವಿಶಾಲ ಸ್ವರೂಪವನ್ನು ಆಯ್ಕೆಮಾಡಿ.,உங்கள் வினவலின் பரந்த தன்மையைத் தேர்ந்தெடுக்கவும்.
s17,from_user,s8,"s19,s21,s22,s23,s25,s51,s53,s65",Questions regarding eligibility for vaccination,टीकाकरण के लिए पात्रता के संबंध में प्रश्न,വാക്സിനേഷൻ യോഗ്യതയെക്കുറിച്ചുള്ള ചോദ്യങ്ങൾ,ଟୀକାକରଣ ପାଇଁ ଯୋଗ୍ୟତା ସମ୍ବନ୍ଧରେ ପ୍ରଶ୍ନ ।,રસી લેવાની યોગ્યતા સંબંધિત પ્રશ્નો,लसीकरण साठी पात्रता संबंधित प्रश्न,টিকা নেওয়ার যোগ্যতা সংক্রান্ত প্রশ্ন,ವ್ಯಾಕ್ಸಿನೇಷನ್ ಅರ್ಹತೆಗೆ ಸಂಬಂಧಿಸಿದ ಪ್ರಶ್ನೆಗಳು,தடுப்பூசி தகுதி பற்றிய கேள்விகள்
s56,from_user,s8,"s58,s27,s29,s31,s51,s53,s65",Post vaccination queries,टीकाकरण के बाद पूछे जाने वाले प्रश्न,വാക്സിനേഷൻ ചെയ്തതിനു ശേഷം,ଟୀକାକରଣର ପରବର୍ତ୍ତୀ ସମୟର ସମ୍ବନ୍ଧିତ ପ୍ରଶ୍ନ ।,રસીકરણ પછી નાં ઉભા થતા પ્રશ્નો ,लसीकरणानंतरचे प्रश्न,টিকা নেওয়ার পরবর্তী সময়ের কিছু প্রশ্ন ।,ವ್ಯಾಕ್ಸಿನೇಷನ್ ನಂತರದ ಪ್ರಶ್ನೆಗಳು ,
s15,from_user,s8,"s59,s33,s35,s37,s39,s41,s43,s45,s47,s49,s51,s53,s65",General vaccination related queries.,टीकाकरण संबंधित आमतौर पर पूछे जाने वाले प्रश्न,വാക്സിനേഷനുമായി ബന്ധപ്പെട്ട സാധാരണ ചോദ്യങ്ങൾ.,ଟୀକାକରଣ ସମ୍ବନ୍ଧୀୟ ସାଧାରଣ ପ୍ରଶ୍ନଗୁଡ଼ିକ ।,રસીકરણ સંબંધિત સામાન્ય પ્રશ્નો.,लसीकरण संबंधित सामान्य प्रश्न,সাধারণ টিকা সম্পর্কিত প্রশ্ন।,ವ್ಯಾಕ್ಸಿನೇಷನ್ ಸಂಬಂಧಿತ ಸಾಮಾನ್ಯ ಪ್ರಶ್ನೆಗಳು.,பொது தடுப்பூசி தொடர்பான கேள்விகள்.
s19,from_user,s20,"s19,s21,s22,s23,s25,s16,s51,s53,s65",I was previously infected with covid 19. When am I eligible to take the vaccine?,मुझे पहले कोविड-19 संक्रमण हो चुका है । मैं टीका लेने के लिए कब योग्य हूं?,എനിക്ക് കോവിഡ്-19 വന്നിരുന്നു. വാക്സിൻ എടുക്കാൻ ഞാൻ യോഗ്യനാകുമോ?,ମୁଁ ପୂର୍ବରୁ କୋଭିଡ ୧୯ ଦ୍ବାରା ସଂକ୍ରମିତ ହୋଇଥିଲି । ମୁଁ କେବେ ଟିକା ନେବାକୁ ଯୋଗ୍ୟ ?,મને થોડા સમય પેહલા કોવિડ -19 ઇન્ફેક્શન લાગ્યું હતું. હું કેટલા સમય પછી રસી લઈ શકું છું?,मला कोविड 19 ची लागण झाली. मी लससाठी कधी पात्र ठरेन?,আমি পূর্বে কোভীড ১৯ এ  সংক্রামিত হয়েছিলাম । আমি কখন ভ্যাকসিন নিতে পারি ?,ನಾನು ಈ ಹಿಂದೆ ಕೋವಿಡ್ ೧೯ ಸೋಂಕಿಗೆ ಒಳಗಾಗಿದ್ದೆ. ಲಸಿಕೆ ತೆಗೆದುಕೊಳ್ಳಲು ನಾನು ಯಾವಾಗ ಅರ್ಹನಾಗಿರುತ್ತೇನೆ?,நான் முன்பு எதிர்பார்த்திருந்தேன் 19. நான் தடுப்பூசி எடுக்க தகுதியுடையவரா?
